37, query 1000 sent to 0 with 50,60,70,80,90,100,110,120,130,140,150,160,170
38, query 1001 sent to 0 with 50,58.8,68.6,78.4,88.2,98.0,107.8,117.6,127.4,137.2,147.0,156.8,166.6
38, query 1002 sent to 0 with 50,57.624,67.228,76.832,86.436,96.04,105.644,115.248,124.852,134.456,144.06,153.664,163.268
38, query 1003 sent to 0 with 50,56.47152,65.88344,75.29536,84.70728,94.1192,103.53112,112.94304,122.35496,131.76688,141.1788,150.59072,160.00264
39, query 1004 sent to 0 with 50,55.3420896,64.5657712,73.7894528,83.0131344,92.236816,101.4604976,110.6841792,119.9078608,129.1315424,138.355224,147.5789056,156.8025872
39, query 1005 sent to 0 with 50,54.235247808,63.274455776,72.313663744,81.352871712,90.39207968,99.431287648,108.470495616,117.509703584,126.548911552,135.58811952,144.627327488,153.666535456
39, query 1006 sent to 0 with 50,53.1505428518,62.0089666605,70.8673904691,79.7258142778,88.5842380864,97.442661895,106.301085704,115.159509512,124.017933321,132.87635713,141.734780938,150.593204747
39, query 1007 sent to 0 with 50,52.0875319948,60.7687873273,69.4500426597,78.1312979922,86.8125533247,95.4938086571,104.17506399,112.856319322,121.537574655,130.218829987,138.900085319,147.581340652
40, query 1008 sent to 0 with 50,51.0457813549,59.5534115807,68.0610418065,76.5686720324,85.0763022582,93.583932484,102.09156271,110.599192936,119.106823161,127.614453387,136.122083613,144.629713839
40, query 1009 sent to 0 with 50,50.0248657278,58.3623433491,66.6998209704,75.0372985917,83.374776213,91.7122538343,100.049731456,108.387209077,116.724686698,125.06216432,133.399641941,141.737119562
40, query 1010 sent to 1 with 50,49.0243684133,57.1950964821,65.365824551,73.5365526199,81.7072806888,89.8780087576,98.0487368265,106.219464895,114.390192964,122.560921033,130.731649102,138.902377171
40, query 1011 sent to 0 with 49.0,49.0243684133,56.0511945525,64.05850806,72.0658215675,80.073135075,88.0804485825,96.08776209,104.095075597,112.102389105,120.109702612,128.11701612,136.124329627
41, query 1012 sent to 1 with 49.0,48.043881045,54.9301706614,62.7773378988,70.6245051361,78.4716723735,86.3188396108,94.1660068482,102.013174086,109.860341323,117.70750856,125.554675798,133.401843035
41, query 1013 sent to 0 with 48.02,48.043881045,53.8315672482,61.5217911408,69.2120150334,76.902238926,84.5924628186,92.2826867112,99.9729106038,107.663134496,115.353358389,123.043582282,130.733806174
41, query 1014 sent to 1 with 48.02,47.0830034241,52.7549359032,60.291355318,67.8277747327,75.3641941475,82.9006135622,90.437032977,97.9734523917,105.509871806,113.046291221,120.582710636,128.119130051
42, query 1015 sent to 0 with 47.0596,47.0830034241,51.6998371852,59.0855282116,66.4712192381,73.8569102645,81.242601291,88.6282923174,96.0139833439,103.39967437,110.785365397,118.171056423,125.55674745
42, query 1016 sent to 1 with 47.0596,46.1413433556,50.6658404415,57.9038176474,65.1417948533,72.3797720592,79.6177492652,86.8557264711,94.093703677,101.331680883,108.569658089,115.807635295,123.045612501
42, query 1017 sent to 0 with 46.118408,46.1413433556,49.6525236326,56.7457412945,63.8389589563,70.9321766181,78.0253942799,85.1186119417,92.2118296035,99.3050472653,106.398264927,113.491482589,120.584700251
42, query 1018 sent to 1 with 46.118408,45.2185164885,48.65947316,55.6108264686,62.5621797771,69.5135330857,76.4648863943,83.4162397028,90.3675930114,97.31894632,104.270299629,111.221652937,118.173006246
43, query 1019 sent to 0 with 45.19603984,45.2185164885,47.6862836968,54.4986099392,61.3109361816,68.123262424,74.9355886664,81.7479149088,88.5602411512,95.3725673936,102.184893636,108.997219878,115.809546121
43, query 1020 sent to 1 with 45.19603984,44.3141461587,46.7325580229,53.4086377404,60.084717458,66.7607971755,73.4368768931,80.1129566106,86.7890363282,93.4651160457,100.141195763,106.817275481,113.493355198
43, query 1021 sent to 0 with 44.2921190432,44.3141461587,45.7979068624,52.3404649856,58.8830231088,65.425581232,71.9681393552,78.5106974784,85.0532556016,91.5958137248,98.138371848,104.680929971,111.223488094
43, query 1022 sent to 1 with 44.2921190432,43.4278632355,44.8819487252,51.2936556859,57.7053626466,64.1170696074,70.5287765681,76.9404835288,83.3521904896,89.7638974503,96.175604411,102.587311372,108.999018333
44, query 1023 sent to 0 with 43.4062766623,43.4278632355,43.9843097506,50.2677825722,56.5512553937,62.8347282152,69.1182010367,75.4016738583,81.6851466798,87.9686195013,94.2520923228,100.535565144,106.819037966
44, query 1024 sent to 1 with 43.4062766623,42.5593059708,43.1046235556,49.2624269207,55.4202302858,61.5780336509,67.735837016,73.8936403811,80.0514437462,86.2092471113,92.3670504764,98.5248538415,104.682657207
44, query 1025 sent to 2 with 42.5381511291,42.5593059708,42.2425310845,48.2771783823,54.3118256801,60.3464729779,66.3811202757,72.4157675735,78.4504148713,84.485062169,90.5197094668,96.5543567646,102.589004062
44, query 1026 sent to 0 with 41.6873881065,41.7081198514,42.2425310845,47.3116348147,53.2255891665,59.1395435183,65.0534978702,70.967452222,76.8814065738,82.7953609257,88.7093152775,94.6232696293,100.537223981
45, query 1027 sent to 1 with 41.6873881065,40.8739574544,41.3976804628,46.3654021184,52.1610773832,57.956752648,63.7524279128,69.5481031776,75.3437784424,81.1394537072,86.9351289719,92.7308042367,98.5264795015
45, query 1028 sent to 2 with 40.8536403444,40.8739574544,40.5697268536,45.438094076,51.1178558355,56.797617595,62.4773793545,68.157141114,73.8369028735,79.516664633,85.1964263925,90.876188152,96.5559499115
